t,Final_PVFP
0,-4701.861994648092
1,-3.549030784909515e-13
2,-3.637360145289031e-13
3,-3.584010906144579e-13
4,-3.6725105340329885e-13
5,-3.690386664759149e-13
6,-3.708349808455532e-13
7,-3.6553461150861595e-13
8,-3.5310301499831517e-13
9,-3.5482176177859456e-13
10,-3.2812716521533195e-13
11,-3.3682976814148124e-13
12,-3.739964408578277e-13
13,-2.622038333809583e-13
14,-2.4932099780502804e-13
15,-2.434783401508217e-13
16,-2.4471151775752977e-13
17,-2.672672232780826e-13
18,-2.7572631500907065e-13
19,-2.771228232859001e-13
20,-2.8563183200425873e-13
21,-2.9418393744736197e-13
22,-2.8146307582020456e-13
23,-3.0420492191649173e-13
24,-3.128510969945077e-13
25,-2.0081038609945325e-13
26,-2.3739412574672934e-13
27,-2.3153779370192717e-13
28,-2.3275607478592255e-13
29,-2.268753387349242e-13
30,-2.3517451476390466e-13
31,-2.5062278587750036e-13
32,-2.5194148635559965e-13
33,-2.5326712543245743e-13
34,-2.545997396168591e-13
35,-2.5593936560968803e-13
36,-2.430751855897346e-13
37,-1.702824622029783e-14
38,-2.4226615967222228e-14
39,-4.9227843749305184e-14
40,7.346883118204934e-15
41,2.815560071150339e-16
42,-6.822334581068197e-15
43,-1.3964999130833609e-14
44,-1.4041221917920847e-14
45,9.299397627820431e-17
46,9.350154953244097e-17
47,1.430486660838972e-14
48,2.1488371794108533e-14
49,2.160987017237104e-14
50,-5.287493173468194e-14
51,-3.5410325892056454e-14
52,-2.850511366526454e-14
53,-6.064070883141697e-14
54,-9.295800332474961e-14
55,-1.1479988346327365e-13
56,-5.860555983402418e-14
57,-4.472606947463402e-14
58,-8.76115213196568e-14
59,-8.45541759200094e-14
60,-7.792683016617237e-14
61,-7.838268193590529e-14
62,-1.0015748239320696e-13
63,-1.220596597924794e-13
64,-9.079925407382895e-14
65,1.1698290496360223e-14
66,-3.4418555359053785e-14
67,-7.725245913747455e-14
68,-1.7308233471775116e-14
69,-1.0304054796331912e-14
70,-8.141860442366234e-14
71,-2.149874962865818e-14
72,-3.583536645999362e-14
73,-3.60519883484501e-14
74,-6.46916291290852e-14
75,-2.6002834321914525e-14
76,-5.458172878019658e-14
77,5.484461628729791e-15
